Product_id,BrandName,Category,Individual_category,category_by_Gender,Description,OriginalPrice (in Rs),SizeOption,Ratings,Reviews,Discount offer(in Rs.),Discount price,Discount offer(%),Column1,,,
13035312,Tokyo Talkies,Western,trousers,Women,tokyo talkies women maroon regular fit solid parallel trousers,1549,"28, 30, 32, 34",4,982,898.42,650.58,58%,High Discount,,,
11045892,Roadster,Western,jeans,Women,roadster women stunning blue boyfriend fit stretchable jeans,2699,"26, 28, 30, 32, 34, 36",3.8,982,2024.25,674.75,75%,High Discount,,,
11157486,Taavi,Western,tops,Women,taavi white  orange hand block print smocked legacy sustainable pure cotton a line top,999,"XS, S, M, L, XL",4.4,982,45,954,5%,Low Discount,,,
11363302,WROGN,Topwear,tshirts,Men,wrogn men navy blue striped slim fit cotton pure cotton t shirt,1299,"S, M, L, XL, XXL",4.3,981,649.5,649,50%,Low Discount,,,
12412864,Varanga,Indian Wear,kurtas,Women,varanga women mustard yellow solid straight kurta with thread work,1999,"S, M, L, XL, XXL",4.3,981,1419.29,579,71%,High Discount,,,
7569310,Zivame,Lingerie & Sleep Wear,shapewear,Women,zivame women grey tummy  thigh shaper zi0pssan03agrey,995,"S, M, L, XL, XXL",3.9,981,248.75,746,25%,Low Discount,,,
7102379,HERE&NOW,Plus Size,tops,Women,herenow black ethnic motifs a line top,1399,"XS, S, M, L, XL, XXL, 3XL",4.2,981,769.45,629,55%,High Discount,,,
9240973,her by invictus,Western,tops,Women,her by invictus white shirt style top,1599,"S, M, L, XL, XXL",4.2,981,559.65,1039.35,35%,Low Discount,,,
12222046,SASSAFRAS,Western,jackets,Women,sassafras women lavender solid cropped jacket,1799,"XS, S, M, L, XL, XXL",4.5,981,1079.4,719.6,60%,High Discount,,,
7772505,STREET 9,Western,jackets,Women,street 9 women white solid crop jacket,1999,"XS, S, M, L, XL",4.3,981,999.5,999.5,50%,Low Discount,,,
11711920,Mast & Harbour,Western,tshirts,Women,mast  harbour women pink solid round neck t shirt,799,"XS, S, M, L, XL",4.3,981,479.4,319.6,60%,High Discount,,,
9262959,Levis,Inner Wear &  Sleep Wear,briefs,Men,levis men pack of 2 solid pure cotton  briefs bf 100ca 2pk,339,"S, M, L, XL",4.3,980,,532.4183267,,High Discount,,,
2888743,HIGHLANDER,Topwear,shirts,Men,highlander men peach coloured slim fit solid casual shirt,1249,"39, 40, 42, 44",4,980,686.95,562,55%,High Discount,,,
13021502,Anubhutee,Indian Wear,kurta-sets,Women,anubhutee women red  off white bandhani print kurta with palazzos,3399,"S, M, L, XL, XXL",3.9,980,1801.47,1597,53%,High Discount,,,
8025483,Dollar Missy,Lingerie & Sleep Wear,briefs,Women,dollar missy women pack of 12 hipster  101s oe po12,1800,"XS, S, M, L, XL, XXL",4.4,980,720,1080,40%,Low Discount,,,
9901951,Roadster,Western,sweatshirts,Women,the roadster lifestyle co women orange solid hooded sweatshirt,1199,"XS, S, M, L, XL",4.3,980,839.3,359.7,70%,High Discount,,,
11709228,Trend Arrest,Western,tops,Women,trend arrest women red  white floral printed smocked crop peplum top,1299,"XS, S, M, L",4.4,980,389.7,909.3,30%,Low Discount,,,
11541522,Roadster,Western,jeans,Women,roadster women blue skinny fit high rise clean look stretchable cropped jeans,1699,"26, 28, 30, 32, 34, 36",4.1,980,934.45,764.55,55%,High Discount,,,
10106025,HRX by Hrithik Roshan,Sports Wear,tshirts,Men,hrx by hrithik roshan men navy blue solid training t shirt,899,"S, M, L, XL, XXL",4.3,979,539.4,359,60%,High Discount,,,
2347572,HIGHLANDER,Topwear,shirts,Men,highlander men blue slim fit solid casual shirt,1299,"39, 40, 42, 44",3.8,979,688.47,610,53%,High Discount,,,
11263958,Tikhi Imli,Indian Wear,sarees,Women,tikhi imli yellow embellished poly georgette saree,1998,Onesize,4,979,1098.9,899,55%,High Discount,,,
7695835,HRX by Hrithik Roshan,Sports Wear,tights,Women,hrx by hrithik roshan women navy solid rapid dry training tights,1699,"XS, S, M, L, XL, XXL",4.3,979,,784.0064103,,High Discount,,,
596473,Belle Fille,Western,sweatshirts,Women,belle fille maroon polyester fleece hooded sweatshirt,1595,"S, M, L, XL, XXL",3.6,978,957,638,60%,High Discount,,,
8801149,Roadster,Western,jeans,Women,roadster women blue boyfriend fit high rise clean look stretchable jeans,1999,"26, 28, 30, 32, 34, 36",4.2,978,1199.4,799.6,60%,High Discount,,,
12193806,Roadster,Western,tshirts,Women,roadster women mustard yellow  black printed round neck t shirt,599,"XS, S, M, L, XL",4.3,978,299.5,299.5,50%,Low Discount,,,
2522852,DressBerry,Western,tshirts,Women,dressberry women grey melange printed round neck t shirt,899,"XS, S, M, L, XL",4.2,978,494.45,404.55,55%,High Discount,,,
1700734,WROGN,Bottom Wear,jeans,Men,wrogn men grey slim fit mid rise clean look jeans,2899,"28, 30, 32, 34, 36, 38",4.2,977,1449.5,1449,50%,Low Discount,,,
10740976,Roadster,Topwear,shirts,Men,roadster men grey printed regular fit casual sustainable shirt,1299,"38, 40, 42, 44",4.1,977,584.55,714,45%,Low Discount,,,
11326046,Roadster,Topwear,shirts,Men,roadster men blue pure cotton sustainable casual shirt,1299,"38, 40, 42, 44, 46, 48",4.1,977,,698.2084967,,High Discount,,,
2000035,Moda Rapido,Indian Wear,kurtas,Women,moda rapido women white  blue printed straight kurta,1799,"XS, S, M, L, XL, XXL, 3XL",4.3,977,1079.4,719,60%,High Discount,,,
9673749,Vishudh,Indian Wear,kurta-sets,Women,vishudh women turquoise blue  gold toned printed kurti with palazzos,2649,"S, M, L, XL, XXL",4.3,977,1536.42,1112,58%,High Discount,,,
10297291,HERE&NOW,Plus Size,tshirts,Women,herenow women white  pink striped v neck pure cotton t shirt,1149,"XS, S, M, L, XL, XXL, 3XL",4.1,977,746.85,402,65%,High Discount,,,
11900306,ether,Western,tshirts,Women,ether women navy blue solid high neck t shirt,699,"XS, S, M, L, XL",4.3,977,419.4,279.6,60%,High Discount,,,
11036420,Jockey,Inner Wear &  Sleep Wear,trunk,Men,jockey international collection men blue solid trunks ic28,599,"S, M, L",4.6,976,,532.4183267,,High Discount,,,
11638588,Jockey,Inner Wear &  Sleep Wear,trunk,Men,jockey men pack of 2 navy blue solid trunks,1198,"S, M, L",4.6,976,,532.4183267,,High Discount,,,
11640010,HRX by Hrithik Roshan,Sports Wear,tshirts,Men,hrx by hrithik roshan men black printed rapid dry basketball tank tshirt,1099,"S, M, L, XL, XXL",4.3,976,439.6,659,40%,Low Discount,,,
2303687,Roadster,Topwear,tshirts,Men,roadster men navy blue solid polo collar pure cotton t shirt,1299,"XS, S, M, L, XL, XXL, 3XL, 4XL",4.2,976,584.55,714,45%,Low Discount,,,
10316399,HERE&NOW,Topwear,shirts,Men,herenow men white  green slim fit striped casual shirt,1999,"38, 40, 42, 44, 46",4.2,976,1299.35,699,65%,High Discount,,,
12116006,Mast & Harbour,Topwear,tshirts,Men,mast  harbour men navy blue  mustard yellow printed round neck t shirt,899,"S, M, L, XL",4.3,976,404.55,494,45%,Low Discount,,,
6613296,Anouk,Indian Wear,kurtis,Women,anouk women navy blue  maroon printed kurti,899,"XS, S, M, L, XL, XXL",3.6,976,404.55,494,45%,Low Discount,,,
11489602,Roadster,Western,skirts,Women,roadster blue washed denim straight skirt,1299,"26, 28, 30, 32, 34, 36",4.2,976,714.45,584.55,55%,High Discount,,,
10162419,DressBerry,Western,tops,Women,dressberry rust orange self design top,1299,"XS, S, M, L, XL",4.2,976,584.55,714.45,45%,Low Discount,,,
11364360,SASSAFRAS,Western,dresses,Women,sassafras grey  peach coloured floral printed accordian pleat fit  flare dress,2499,"XS, S, M, L, XL, XXL",4.4,976,1249.5,1249.5,50%,Low Discount,,,
12524810,HERE&NOW,Plus Size,kurtas,Women,herenow women charcoal grey  golden ethnic motif print straight kurta,1299,"XS, S, M, L, XL, XXL, 3XL",4.3,975,779.4,519,60%,High Discount,,,
10317827,Jaipur Kurti,Plus Size,kurtas,Women,jaipur kurti women grey  black checked straight kurta,1749,"XS, S, M, L, XL, XXL",4.1,975,1031.91,717,59%,High Discount,,,
17382690,Roadster,Western,tshirts,Women, roadster women pack of 2 cotton t shirts,1598,"XS, S, M, L, XL",4.3,975,799,799,50%,Low Discount,,,
6625378,Tokyo Talkies,Western,dresses,Women,tokyo talkies women yellow printed maxi dress,2449,"S, M, L, XL",4.2,975,1395.93,1053.07,57%,High Discount,,,
2344421,Moda Rapido,Bottom Wear,jeans,Men,moda rapido men black skinny fit mid rise slash knee stretchable jeans,1999,"28, 30, 32, 34, 36",3.8,974,1199.4,799,60%,High Discount,,,
2478316,WROGN,Topwear,tshirts,Men,wrogn men off white  navy striped polo pure cotton t shirt,1499,"S, M, L, XL, XXL",4.1,974,749.5,749,50%,Low Discount,,,
11535126,Anubhutee,Indian Wear,kurtas,Women,anubhutee women pink  orange screen print a line kurta,1799,"S, M, L, XL, XXL",4.1,974,1259.3,539,70%,High Discount,,,
10939758,DressBerry,Lingerie & Sleep Wear,bra,Women,dressberry pink solid non wired non padded everyday bra db soft bra 007c,649,"32B, 32C, 34B, 34C, 34D, 36B, 36C, 36D, 38B, 38C",4.1,974,454.3,194,70%,High Discount,,,
7140521,Mast & Harbour,Western,tshirts,Women,mast  harbour women off white printed round neck t shirt,799,"XS, S, M, L, XL",4.2,974,439.45,359.55,55%,High Discount,,,
10365147,DressBerry,Western,jeans,Women,dressberry women blue skinny fit mid rise clean look stretchable jeans,1899,"26, 28, 30, 32, 34, 36",4.1,974,,739.615796,,High Discount,,,
10054351,Yuris,Indian Wear,kurtas,Women,yuris women pink  white printed straight kurta,1199,"S, M, L, XL, XXL, 3XL",4.2,973,539.55,659,45%,Low Discount,,,
10960692,Anouk,Indian Wear,kurtas,Women,anouk women blue  white printed indigo straight kurta,1499,"XS, S, M, L, XL, XXL, 3XL, 4XL",3.8,973,824.45,674,55%,High Discount,,,
13581338,Anubhutee,Indian Wear,kurta-sets,Women,anubhutee women pink  white pure cotton bandhani print kurta with trousers,2499,"S, M, L, XL, XXL",4.1,973,1649.34,849,66%,High Discount,,,
7487820,Claura,Lingerie & Sleep Wear,night-suits,Women,claura women yellow  white printed night suit cot 108 yellow lt,1599,"S, M, L, XL",4.3,973,607.62,991,38%,Low Discount,,,
782799,Softrose,Lingerie & Sleep Wear,briefs,Women,softrose women pack of 3 boyshorts sh7004bws,607,"S, M, L, XL, XXL",3.8,973,121.4,485,20%,Low Discount,,,
14225120,NEU LOOK FASHION,Sports Wear,tights,Women,neu look fashion women black  pink colourblocked gym tights,1499,"S, M, L, XL, XXL",4,973,959.36,539,64%,High Discount,,,
8475747,HRX by Hrithik Roshan,Sports Wear,tights,Women,hrx by hrithik roshan women blue printed rapid dry seamless running tights,1699,"XS, S, M, L, XL, XXL",4,973,934.45,764,55%,High Discount,,,
10891012,Campus Sutra,Sports Wear,tshirts,Men,campus sutra men charcoal grey striped mandarin collar t shirt,1199,"S, M, L, XL",4,972,683.43,515,57%,High Discount,,,
4453300,HRX by Hrithik Roshan,Sports Wear,jackets,Men,hrx by hrithik roshan men black  grey camouflage printed running bomber jacket,3799,"S, M, L, XL, XXL",4.3,972,2469.35,1329,65%,High Discount,,,
15241816,Varanga,Indian Wear,kurtas,Women,varanga women yellow  peach coloured floral screen printed gotta patti straight kurta,2799,"S, M, L, XL, XXL",4.1,972,1819.35,979,65%,High Discount,,,
12277596,STREET 9,Western,trousers,Women,street 9 women rose cropped cargos,1799,"26, 28, 30, 32, 34",4.3,972,899.5,899.5,50%,Low Discount,,,
2371017,Kook N Keech,Western,shirts,Women,kook n keech women black regular fit printed casual shirt,1799,"XS, S, M, L, XL",4.4,972,1079.4,719.6,60%,High Discount,,,
11542062,Roadster,Western,jeans,Women,roadster women blue flared high rise clean look stretchable jeans,2999,"26, 28, 30, 32, 34, 36",4.3,972,1649.45,1349.55,55%,High Discount,,,
8353077,Roadster,Western,tshirts,Women,roadster women black geo printed round neck t shirt,799,"XS, S, M, L, XL",4.3,972,399.5,399.5,50%,Low Discount,,,
1753425,Roadster,Western,tshirts,Women,roadster women olive green solid round neck t shirt,799,"XS, S, M, L, XL",4,972,399.5,399.5,50%,Low Discount,,,
12816474,HERE&NOW,Topwear,tshirts,Men,herenow men white solid round neck t shirt,599,"S, M, L, XL",3.8,971,359.4,239,60%,High Discount,,,
